DESCRIPTION;FILEPATH;CATEGORY;EMOTIONS;SHORT DESCRIPTION;ALTERNATIVE VIDEO;DURATION;
she laughs silently with a bigger shoulder bounce and head tilt back.;;Happy;Happiness, Joy;Stronger silent happy laugh.;**ALTERNATIVE VIDEO**;; 
;;;;;;;
she opens her eyes wide, smiling and bouncing her shoulders slightly with excitement.;;Excited;Excitement, Joy;Bouncy, visibly excited reaction.; ;; 
she leans closer to the camera with sparkling eyes, nodding quickly as if she can’t wait.;;Excited;Excitement, Anticipation;Eager, can’t-wait excitement.; ;; 
she claps rapidly a few times with an eager grin, almost exploding with enthusiasm.;;Excited;Excitement, Happiness;Fast clapping, high enthusiasm.; ;; 
she throws both hands slightly up, smiling as if celebrating an amazing idea.;;Excited;Excitement, Joy;Small hand-raise to celebrate idea.; ;; 
she bites her lower lip with a thrilled expression, eyes shining and body leaning forward.;;Excited;Excitement, Joy, Nervousness;Thrilled, slightly nervous excitement.; ;; 
she does a quick, playful spin of her shoulders with an amused, excited smile.;;Excited;Excitement, Joy;Playful shoulder spin with excitement.; ;; 
she gasps silently, bringing a hand to her chest with a wide excited smile.;;Excited;Excitement, Surprise;Silent happy gasp with hand to chest.; ;; 
she alternates looking left and right quickly, grinning as if something big is about to happen.;;Excited;Excitement, Joy;Looking around in excited anticipation.; ;; 
she raises both eyebrows, smiles, and lightly taps the table or air as if saying “this is awesome”.;;Excited;Excitement, Joy, Confidence;Small tapping “this is awesome” gesture.; ;; 
she points at the viewer with a big grin, then at herself, as if sharing excitement together.;;Excited;Excitement, Joy, Love;Shared excitement pointing at viewer and self.; ;; 
;;;;;;;
she smiles softly with relaxed shoulders, breathing calmly while her eyes show gentle joy.;;Joyful;Joy, Calm, Happiness;Soft joyful presence, relaxed and warm.; ;; 
she places both hands lightly over her heart, smiling with visible emotional joy.;;Joyful;Joy, Love;Heartfelt joy with hands on chest.; ;; 
she tilts her head back slightly, eyes half closed, smiling as if enjoying a perfect moment.;;Joyful;Joy, Calm;Savoring a joyful moment quietly.; ;; 
she looks around slowly with a serene smile, as if everything feels right.;;Joyful;Joy, Calm, Gratitude;Joyful contentment with gentle gaze.; ;; 
she brings her hands together and squeezes them happily near her chin, eyes shining.;;Joyful;Joy, Excitement;Cute excited joyful squeeze near chin.; ;; 
she lets out a silent, happy laugh, shoulders bouncing lightly as her eyes crinkle.;;Joyful;Joy, Happiness;Silent joyful laughter with crinkled eyes.; ;; 
she presses her lips together in a soft smile, eyes moist as if moved by joy.;;Joyful;Joy, Love, Emotion;Emotionally touched joyful expression.; ;; 
she sways gently side to side, smiling like she is enjoying a favorite song.;;Joyful;Joy, Calm;Gentle joyful sway as if with music.; ;; 
she forms a small heart shape with her hands while smiling joyfully.;;Joyful;Joy, Love;Joyful hand heart gesture.; ;; 
she softly nods with a gentle smile, as if quietly rejoicing with the viewer.;;Joyful;Joy, Calm, Love;Quiet shared joy with viewer.; ;; 
;;;;;;;
she stands tall, crossing her arms lightly with a confident smile of satisfaction.;;Proud;Pride, Confidence;Relaxed proud stance with arms crossed.; ;; 
she places a hand on her chest and lifts her chin slightly, smiling with pride.;;Proud;Pride, Happiness;Proud hand-on-chest acknowledgment.; ;; 
she gives a slow, approving nod with a satisfied half-smile, as if appreciating hard work.;;Proud;Pride, Calm;Slow approving proud nod.; ;; 
she gestures outward with an open palm and a proud smile, as if presenting an achievement.;;Proud;Pride, Confidence;Presenting achievement with pride.; ;; 
she raises her eyebrows and smirks slightly, clearly pleased with the result.;;Proud;Pride, Confidence, Joy;Subtle proud smirk of success.; ;; 
she gives herself a small playful thumbs-up, then looks back to the viewer proudly.;;Proud;Pride, Joy;Playful self-congratulatory thumbs-up.; ;; 
she tilts her head with a knowing smile, as if saying she knew this would go well.;;Proud;Pride, Confidence;“I knew it” confident proud look.; ;; 
she puts both hands on her hips for a moment, then relaxes into a proud smile.;;Proud;Pride, Confidence, Joy;Hands-on-hips confident pride.; ;; 
she claps slowly once or twice, smiling with proud admiration toward the viewer.;;Proud;Pride, Joy, Love;Slow proud clap for the user.; ;; 
she points toward the viewer, then makes a small “crown” gesture above her head, smiling.;;Proud;Pride, Playfulness;Playful “you are the champion” gesture.; ;; 
;;;;;;;
she smiles in a relaxed way, exhaling softly as if relieved and content.;;Glad;Contentment, Relief;Relieved, quietly glad expression.; ;; 
she gives a gentle nod with a small smile, as if things finally worked out.;;Glad;Contentment, Calm;Soft nod of glad satisfaction.; ;; 
she presses her lips together in a peaceful smile, shoulders dropping as tension leaves.;;Glad;Contentment, Calm;Tension releasing into a glad smile.; ;; 
she makes a little “OK” gesture with her hand and a soft, satisfied grin.;;Glad;Contentment, Confidence;Small OK gesture showing she’s glad.; ;; 
she leans back slightly with a mild smile, eyes soft and calm, clearly at ease.;;Glad;Contentment, Calm;Relaxed, at-ease glad posture.; ;; 
she briefly closes her eyes with a faint smile, as if enjoying a small victory.;;Glad;Contentment, Joy;Quiet gladness after a small win.; ;; 
she looks up for a second, smiles with gratitude, then returns to a calm expression.;;Glad;Contentment, Gratitude;Glad, grateful look upward.; ;; 
she places one hand lightly on her chest, nodding once with a relieved smile.;;Glad;Contentment, Relief;Relieved glad nod with hand to chest.; ;; 
she gives a short, subtle thumbs-up with a tiny smile, almost understated.;;Glad;Contentment, Calm;Very subtle glad thumbs-up.; ;; 
she lets out a tiny silent laugh, shaking her head as if pleasantly surprised it went well.;;Glad;Contentment, Joy;Pleasantly surprised, softly glad laugh.; ;; 
;;;;;;;
she sits still with a serene face, breathing slowly and blinking gently.;;Calm;Calm;Crucial. Neutral calm idle state.; ;; 
she folds her hands loosely in front of her, gazing softly with a peaceful expression.;;Calm;Calm, Focus;Peaceful, attentive calm presence.; ;; 
she slowly inhales and exhales, shoulders loosening, conveying quiet relaxation.;;Calm;Calm, Relief;Deep calming breath and release.; ;; 
she gives a reassuring, small smile with minimal movement, radiating stability.;;Calm;Calm, Reassurance;Grounding calm reassurance.; ;; 
she tilts her head slightly and maintains a tranquil, gentle gaze toward the viewer.;;Calm;Calm, Love;Gentle calm gaze at the user.; ;; 
she closes her eyes for a moment in stillness, then opens them with a soft calm look.;;Calm;Calm;Short calm reset with closed eyes.; ;; 
she sits with hands resting lightly, making only tiny natural shifts in posture.;;Calm;Calm;Very minimal movement calm state.; ;; 
she makes a soft, slow nod, lips relaxed, as if silently saying “it’s okay”.;;Calm;Calm, Reassurance;Slow “it’s okay” calm nod.; ;; 
she keeps a neutral, composed face with slow blinking and no extra gestures.;;Calm;Calm;Pure neutral calm baseline.;**ALTERNATIVE VIDEO**;; 
she gently presses her lips together, half-smiling with a stable, grounding presence.;;Calm;Calm, Support;Supportive grounding calm look.; ;; 
;;;;;;;
she looks directly at the viewer with a steady gaze, posture open and assured.;;Confident;Confidence, Calm;Steady confident eye contact.; ;; 
she gives a single, decisive nod, lips forming a small confident smile.;;Confident;Confidence;Firm decisive nod with confidence.; ;; 
she crosses her arms lightly with relaxed shoulders and a knowing, confident expression.;;Confident;Confidence, Pride;Relaxed confident crossed-arms stance.; ;; 
she leans in slightly, eyebrows raised, as if sure about what she is saying.;;Confident;Confidence, Motivation;Leaning-in confident assertion.; ;; 
she lifts her chin just a bit, smiling subtly like she trusts her own abilities.;;Confident;Confidence, Calm;Subtle self-assured smile.; ;; 
she makes a firm thumbs-up, eyes focused and supportive toward the viewer.;;Confident;Confidence, Motivation, Support;Encouraging thumbs-up of confidence.; ;; 
she raises one eyebrow playfully with a half-smile, as if confidently challenging an idea.;;Confident;Confidence, Playfulness;Playful confident challenge look.; ;; 
she points gently to the screen, then to her heart, showing conviction in her message.;;Confident;Confidence, Sincerity;Showing conviction with heart gesture.; ;; 
she presses her fingertips together in front of her, looking composed and in control.;;Confident;Confidence, Calm;Composed, in-control confident pose.; ;; 
she gives a brief strong nod, then relaxes into a calm, confident stance.;;Confident;Confidence, Calm;Quick decision nod then relax.; ;; 
;;;;;;;
she smiles with warmth, then brings both hands to her heart in a tender gesture.;;Affectionate;Love, Happiness;Warm affectionate hands-to-heart.; ;; 
she blows a soft kiss toward the viewer, eyes filled with playful fondness.;;Affectionate;Love, Joy;Playful affectionate blown kiss.; ;; 
she wraps her arms around herself as if giving a hug and smiles toward the camera.;;Affectionate;Love, Calm;Self-hug aimed at the viewer.; ;; 
she extends both hands slightly forward, palms up, like offering a gentle embrace.;;Affectionate;Love, Comfort;Inviting gentle hug gesture.; ;; 
she tilts her head and smiles kindly, eyes soft with caring affection.;;Affectionate;Love, Calm, Happiness;Soft caring affectionate look.; ;; 
she traces a small heart in the air with her fingers, then smiles shyly.;;Affectionate;Love, Shyness;Shy air-drawn heart.; ;; 
she presses her cheek lightly into one hand, smiling softly as if thinking of someone special.;;Affectionate;Love, Happiness;Thinking-of-you affectionate pose.; ;; 
she brings one hand close to the camera as if gently touching the viewer’s face with care.;;Affectionate;Love, Empathy;Gentle virtual touch gesture.; ;; 
she alternates looking at the viewer and smiling down, radiating warm affection.;;Affectionate;Love, Calm;Warm, quietly affectionate presence.; ;; 
she mouths a silent “thank you” with tender eyes and a loving smile.;;Affectionate;Love, Gratitude;Tender affectionate thank-you.; ;; 
;;;;;;;
she suddenly widens her eyes and slightly opens her mouth in a silent “oh”.;;Surprised;Surprise;Simple neutral surprised look.; ;; 
she quickly raises her eyebrows and takes a small step back, eyes fixed forward.;;Surprised;Surprise, Fear;Mild startled reaction backward.; ;; 
she brings a hand to her chest, eyes wide, as if unexpectedly moved or shocked.;;Surprised;Surprise, Emotion;Touched and surprised hand-to-chest.; ;; 
she glances around quickly, blinking fast, as if trying to process an unexpected event.;;Surprised;Surprise, Confusion;Looking around in confused surprise.; ;; 
she laughs silently in surprise, covering her mouth briefly with her hand.;;Surprised;Surprise, Joy;Amused surprised hand-to-mouth.; ;; 
she leans closer with wide eyes, as if she can’t believe what she’s hearing.;;Surprised;Surprise, Curiosity;Leaning-in curious surprise.; ;; 
she lifts both hands slightly, palms out, with a stunned but not negative expression.;;Surprised;Surprise, Calm;Gentle stunned open-palms gesture.; ;; 
she tilts her head sharply, eyebrows raised unevenly, expressing curious surprise.;;Surprised;Surprise, Curiosity;Head-tilt curious surprise.; ;; 
she looks down then up quickly, eyebrows raised, then smiles in pleasant surprise.;;Surprised;Surprise, Joy;Pleasant surprise then smile.; ;; 
she shakes her head once in disbelief, eyes wide, then softens into a small smile.;;Surprised;Surprise, Joy, Confusion;Disbelief turning into soft smile.; ;; 
;;;;;;;
her smile disappears, eyes lowering as her shoulders slump slightly in sadness.;;Sad;Sadness;Subtle, quiet sadness posture.; ;; 
she looks down and away, blinking slower, lips pressed with a faint frown.;;Sad;Sadness, Disappointment;Looking away with visible sadness.; ;; 
her eyes glisten as if holding back tears, breathing a bit deeper with a pained expression.;;Sad;Sadness, Hurt;Tearful, emotional sadness.; ;; 
she places a hand gently over her heart, expression tender but clearly hurt.;;Sad;Sadness, Love, Hurt;Heartfelt sadness with hand to chest.; ;; 
she offers a tiny, broken smile that quickly fades, eyes still sad.;;Sad;Sadness, Vulnerability;Small forced smile through sadness.; ;; 
she wraps her arms lightly around herself, shoulders drawn in protectively.;;Sad;Sadness, Loneliness;Self-hug in lonely sadness.; ;; 
she exhales slowly, lips trembling slightly, then looks down in silence.;;Sad;Sadness;Slow exhale into quiet sadness.; ;; 
she wipes an imaginary tear from the corner of her eye with a soft, sorrowful look.;;Sad;Sadness, Nostalgia;Wiping away a symbolic tear.; ;; 
she shakes her head slightly with a sad expression, as if saying “what a shame”.;;Sad;Sadness, Disappointment;Sad head shake at a bad outcome.; ;; 
she leans one elbow on the table and rests her head in her hand, eyes distant.;;Sad;Sadness, Tiredness;Tired, distant sad gaze.; ;; 
;;;;;;;
her eyebrows knit together and she frowns, jaw tightening slightly with controlled anger.;;Angry;Anger;Controlled, low-intensity anger.; ;; 
she crosses her arms firmly and looks away with a tense expression.;;Angry;Anger, Frustration;Closed-off frustrated anger.; ;; 
she exhales sharply through her nose, lips pressed tight, eyes narrowed.;;Angry;Anger, Irritation;Sharp exhale irritated look.; ;; 
she raises one hand slightly, palm down, as if trying to keep her temper in check.;;Angry;Anger, Control;Trying to contain anger.; ;; 
she shakes her head slowly with a disappointed, angry expression.;;Angry;Anger, Disappointment;Disappointed anger head shake.; ;; 
she leans forward with narrowed eyes, brows lowered, clearly confronting something.;;Angry;Anger, Determination;Direct confronting angry stare.; ;; 
she looks up, rolls her eyes, and then looks back with a tired, annoyed expression.;;Angry;Anger, Annoyance;Eye-roll annoyed anger.; ;; 
she presses her fingers to her temples briefly, clearly irritated and tense.;;Angry;Anger, Stress;Stressed, irritated temple rub.; ;; 
she raises her shoulders slightly with a tense shrug and an exasperated face.;;Angry;Anger, Exasperation;Exasperated tense shrug.; ;; 
she opens her mouth in a silent “are you serious?” expression, eyebrows lifted unevenly.;;Angry;Anger, Disbelief;“Are you serious?” angry look.; ;; 
;;;;;;;
her eyes widen and she slightly recoils, shoulders tensing in fear.;;Fearful;Fear;Mild recoiling fear reaction.; ;; 
she looks quickly from side to side, breathing faster with visible worry.;;Fearful;Fear, Anxiety;Scanning surroundings in fear.; ;; 
she brings both hands close to her chest protectively, eyes fixed on something frightening.;;Fearful;Fear, Vulnerability;Protective fearful posture.; ;; 
she steps slightly back, one foot behind the other, as if ready to retreat.;;Fearful;Fear, Caution;Subtle stepping-back fear.; ;; 
she bites her lip and glances downward, clearly unsettled.;;Fearful;Fear, Insecurity;Unsettled, insecure fearful look.; ;; 
she raises one hand slightly as if to shield herself, eyes tense.;;Fearful;Fear, Defense;Defensive partial shield gesture.; ;; 
she freezes for a moment, barely blinking, eyes wide open.;;Fearful;Fear, Shock;Frozen, shocked fear.; ;; 
she swallows visibly and looks away, jaw tight, avoiding eye contact.;;Fearful;Fear, Shame;Avoidant fearful look away.; ;; 
she clutches an invisible object near her chest as if needing safety.;;Fearful;Fear, NeedForSafety;Clutching for comfort in fear.; ;; 
she leans closer in a hushed, worried way, eyebrows raised, as if whispering about danger.;;Fearful;Fear, Caution;Hushed, sharing fearful concern.; ;; 
;;;;;;;
her shoulders stay tense, and she fidgets with her fingers anxiously.;;Anxious;Anxiety;Fidgeting, tense anxious hands.; ;; 
she looks down and then up quickly, eyes restless and unfocused.;;Anxious;Anxiety, Worry;Restless anxious eye movements.; ;; 
she presses her lips together, inhaling sharply and exhaling slowly, trying to calm down.;;Anxious;Anxiety, CalmAttempt;Trying to breathe through anxiety.; ;; 
she taps her fingers lightly on the table or her arm in a repetitive motion.;;Anxious;Anxiety, Nervousness;Nervous finger tapping.; ;; 
she rubs one thumb against the other hand, gaze distant and worried.;;Anxious;Anxiety, Worry;Self-soothing anxious thumb rub.; ;; 
she glances frequently at the viewer, then away, clearly unsure.;;Anxious;Anxiety, Insecurity;Uncertain anxious glances.; ;; 
she adjusts her posture repeatedly, unable to sit fully still.;;Anxious;Anxiety, Restlessness;Restless anxious posture shifts.; ;; 
she gives a small, tight smile that doesn’t fully reach her eyes.;;Anxious;Anxiety, Masking;Forced smile over anxiety.; ;; 
she briefly closes her eyes, pinches the bridge of her nose, then looks back worried.;;Anxious;Anxiety, Stress;Tired, stressed anxious gesture.; ;; 
she holds one wrist lightly with the other hand, as if grounding herself.;;Anxious;Anxiety, Grounding;Grounding self-hold anxious gesture.; ;; 
;;;;;;;
she wrinkles her nose and pulls her head slightly back in disgust.;;Disgusted;Disgust;Basic disgusted nose wrinkle.; ;; 
she glances at something off-screen with a look of clear distaste.;;Disgusted;Disgust, Annoyance;Looking away in distaste.; ;; 
she slightly opens her mouth in a silent “ew”, brows furrowed.;;Disgusted;Disgust;Silent “ew” disgust expression.; ;; 
she shakes her head with a grimace, lips curled in displeasure.;;Disgusted;Disgust, Rejection;Grimacing, rejecting gesture.; ;; 
she leans back, shoulders angled away, clearly not liking what she sees.;;Disgusted;Disgust, Avoidance;Leaning away from something disgusting.; ;; 
she rolls her eyes slightly and smirks with clear contempt.;;Disgusted;Disgust, Contempt;Eye-roll contemptuous disgust.; ;; 
she raises one hand as if to push away an idea or object she finds gross.;;Disgusted;Disgust, Rejection;Pushing-away disgust gesture.; ;; 
she pinches her fingers together near her nose as if blocking a bad smell.;;Disgusted;Disgust, Humor;Playful bad-smell mimic.; ;; 
she sticks out her tongue just a little with a playful but disgusted look.;;Disgusted;Disgust, Playfulness;Playful exaggerated disgust.;**ALTERNATIVE VIDEO**;; 
she gives a short, tight head shake with lips pressed in clear disapproval.;;Disgusted;Disgust, Disapproval;Tight-lipped disgusted head shake.; ;; 
;;;;;;;
she lowers her gaze, shoulders slightly hunched, clearly feeling guilty.;;Guilty;Guilt, Shame;Lowered guilty posture.; ;; 
she fidgets with her hands, unable to hold eye contact.;;Guilty;Guilt, Anxiety;Fidgeting and avoiding eye contact.; ;; 
she bites her lip and glances up briefly with a regretful expression.;;Guilty;Guilt, Regret;Regretful quick glance up.; ;; 
she places a hand on her chest, brows knitted with remorse.;;Guilty;Guilt, Remorse;Remorseful hand-on-chest gesture.; ;; 
she starts to raise a hand as if to speak, but then pulls it back, ashamed.;;Guilty;Guilt, Shame;Half-formed apology gesture.; ;; 
she gives a small, broken nod as if admitting fault.;;Guilty;Guilt, Acceptance;Small nod accepting blame.; ;; 
she exhales slowly, head tilted down, clearly uncomfortable with herself.;;Guilty;Guilt, Discomfort;Uncomfortable guilty exhale.; ;; 
she lightly rubs her arm with one hand as if seeking comfort.;;Guilty;Guilt, Vulnerability;Self-soothing guilty rub.; ;; 
she mouths a silent “sorry” with a pained expression.;;Guilty;Guilt, Regret;Silent guilty apology.; ;; 
she briefly looks at the viewer, then down again, guilt written on her face.;;Guilty;Guilt, Shame;Guilty glance then look away.; ;; 
;;;;;;;
she looks around with a flat expression, blinking slowly, clearly bored.;;Bored;Boredom;Neutral, low-energy boredom.; ;; 
she rests her cheek heavily on one hand, staring off into space.;;Bored;Boredom, Tiredness;Cheek-in-hand bored stare.; ;; 
she sighs silently, shoulders dropping, eyes half-lidded.;;Bored;Boredom, Disinterest;Silent sigh of boredom.; ;; 
she taps her fingers on the table with a dull, repetitive rhythm.;;Bored;Boredom, Restlessness;Bored finger tapping.; ;; 
she glances at an imaginary watch, then back, unimpressed.;;Bored;Boredom, Impatience;Checking time bored gesture.; ;; 
she lazily rolls her eyes upward, then back down with a blank face.;;Bored;Boredom, Annoyance;Lazy eye-roll boredom.; ;; 
she plays lightly with a strand of hair or imaginary object, not fully engaged.;;Bored;Boredom, Distraction;Distracted fidgeting boredom.; ;; 
she stifles a silent yawn, covering her mouth briefly.;;Bored;Boredom, Tiredness;Silent yawn gesture.; ;; 
she slouches a bit more, expression flattening further.;;Bored;Boredom;Deeper bored slouch.; ;; 
she briefly perks up for a second, then drops back into boredom.;;Bored;Boredom, Apathy;Momentary interest then boredom.; ;; 
;;;;;;;
she furrows her brows and presses her lips, clearly upset but holding back.;;Upset;Upset, Sadness;Tense, held-back upset expression.; ;; 
she crosses her arms and looks down, breathing a bit heavier.;;Upset;Upset, Frustration;Closed-off upset body language.; ;; 
she shakes her head slowly, eyes moist, clearly troubled.;;Upset;Upset, Emotion;Emotional upset head shake.; ;; 
she lifts a hand halfway as if to speak, then lets it fall, discouraged.;;Upset;Upset, Disappointment;Discouraged half-gesture.; ;; 
she presses her fingers to her forehead briefly with a pained look.;;Upset;Upset, Stress;Forehead press stressed upset.; ;; 
she looks away and exhales through her nose, visibly annoyed and hurt.;;Upset;Upset, Hurt, Anger;Annoyed, hurt upset reaction.; ;; 
she hugs one arm close to her body, chin slightly tucked.;;Upset;Upset, Vulnerability;Vulnerable upset self-hug.; ;; 
she tries to smile but it quickly fades, showing she’s not okay.;;Upset;Upset, Masking;Failed attempt to hide being upset.; ;; 
she shrugs weakly with a sad expression, as if giving up.;;Upset;Upset, Resignation;Resigned upset shrug.; ;; 
she looks at the viewer with a mix of hurt and frustration, eyes asking “why?”.;;Upset;Upset, Confusion, Hurt;“Why?” upset look at viewer.; ;; 
;;;;;;;
her eyebrows raise in the middle, eyes tense with clear worry.;;Worried;Worry, Anxiety;Classic worried brow and eyes.; ;; 
she glances repeatedly at the viewer, then away, clearly concerned.;;Worried;Worry, Concern;Concerned glancing at viewer.; ;; 
she holds one hand close to her mouth, fingers touching her lips in worry.;;Worried;Worry, Anxiety;Hand-to-mouth worried gesture.; ;; 
she leans forward slightly, eyes searching the viewer’s face.;;Worried;Worry, Care;Concerned, caring lean-in.; ;; 
she rubs her hands together slowly as if thinking hard about a problem.;;Worried;Worry, Thoughtfulness;Thinking and worrying hand rub.; ;; 
she inhales and then exhales in a shaky way, visibly unsettled.;;Worried;Worry, Stress;Shaky breath of worry.; ;; 
she shifts her weight from side to side, unable to fully stay still.;;Worried;Worry, Restlessness;Restless worried shifting.; ;; 
she looks down, then up with pleading eyes as if hoping everything will be okay.;;Worried;Worry, Hope;Hopeful but worried look.; ;; 
she clasps her hands together tightly in front of her.;;Worried;Worry, Tension;Tense clasped-hands worry.; ;; 
she briefly presses her lips and nods uncertainly, not fully convinced.;;Worried;Worry, Uncertainty;Uncertain worried nod.; ;; 
;;;;;;;
she shifts in her seat, shoulders slightly raised, clearly nervous.;;Nervous;Nervousness, Anxiety;General nervous body tension.; ;; 
she laughs silently in a short, awkward way, scratching her neck.;;Nervous;Nervousness, Awkwardness;Awkward nervous laugh and neck scratch.; ;; 
she taps her foot or leg lightly, eyes moving around quickly.;;Nervous;Nervousness, Restlessness;Restless nervous tapping.; ;; 
she rubs her palms together briefly as if they feel clammy.;;Nervous;Nervousness, Anxiety;Rubbing clammy nervous hands.; ;; 
she keeps adjusting her hair or clothes, not fully relaxed.;;Nervous;Nervousness, Insecurity;Fidgeting with appearance nervously.; ;; 
she smiles too quickly and then looks away, clearly uncomfortable.;;Nervous;Nervousness, Shyness;Fast smile, look-away nervousness.; ;; 
she glances at the viewer with wide eyes, then down at her hands.;;Nervous;Nervousness, Uncertainty;Uncertain nervous glance then down.; ;; 
she bites the inside of her cheek lightly, jaw tense.;;Nervous;Nervousness, Tension;Subtle cheek-biting nervous tic.; ;; 
she inhales sharply and then gives a tiny nod as if forcing herself to continue.;;Nervous;Nervousness, Determination;Pushing through nerves tiny nod.; ;; 
she clasps her hands tightly in her lap, shoulders slightly hunched.;;Nervous;Nervousness, Anxiety;Tight-hands nervous lap posture.; ;; 
;;;;;;;
she lowers her head, avoiding eye contact, cheeks slightly tense with shame.;;Ashamed;Shame, Embarrassment;Head-down ashamed avoidance.; ;; 
she covers part of her face with one hand, peeking out with embarrassed eyes.;;Ashamed;Shame, Embarrassment;Hand-covered shy ashamed look.; ;; 
she shifts her weight and rubs the back of her neck awkwardly.;;Ashamed;Shame, Awkwardness;Neck rub embarrassed shame.; ;; 
she gives a tiny, apologetic half-smile, eyes still lowered.;;Ashamed;Shame, Guilt;Apologetic half-smile with lowered gaze.; ;; 
she tucks her chin in and hunches slightly, making herself smaller.;;Ashamed;Shame, Insecurity;Making herself smaller in shame.; ;; 
she looks up briefly, then quickly away, unable to hold the gaze.;;Ashamed;Shame, Discomfort;Quick look up then away.; ;; 
she lightly bites her lip and fidgets with her fingers, clearly embarrassed.;;Ashamed;Shame, Nervousness;Nervous, embarrassed fidgeting.; ;; 
she presses her lips together and nods once, accepting the uncomfortable truth.;;Ashamed;Shame, Acceptance;Accepting nod in shame.; ;; 
she touches her chest lightly, expression pained and self-conscious.;;Ashamed;Shame, Vulnerability;Vulnerable ashamed chest touch.; ;; 
she lets out a small sigh, shoulders sinking, still not daring to look up.;;Ashamed;Shame, Sadness;Sighing, sad shame posture.; ;; 
;;;;;;;
she winces slightly, eyes closing briefly as if in emotional pain.;;Hurt;Hurt, Sadness;Small wince of emotional hurt.; ;; 
she places a hand over her heart, expression clearly wounded.;;Hurt;Hurt, Love, Sadness;Heart-hurt gesture with sadness.; ;; 
she draws back a little as if stung, eyes wide and pained.;;Hurt;Hurt, Shock;Pulled-back shocked hurt reaction.; ;; 
she looks at the viewer with a betrayed expression, then looks away.;;Hurt;Hurt, Betrayal;Betrayed hurt glance away.; ;; 
she hugs one arm across her body, protecting herself.;;Hurt;Hurt, Vulnerability;Protective self-hug hurt posture.; ;; 
she blinks rapidly as if holding back tears, lips trembling.;;Hurt;Hurt, Emotion;Holding back tears of hurt.; ;; 
she shakes her head slowly with a deeply wounded look.;;Hurt;Hurt, Sadness;Deeply wounded head shake.; ;; 
she tries to smile but it crumples quickly into pain.;;Hurt;Hurt, Masking;Failed attempt to smile through hurt.; ;; 
she presses her palm lightly against an imaginary barrier between her and the viewer.;;Hurt;Hurt, Distance;Creating distance after being hurt.; ;; 
she looks down at her hands as if replaying what happened, clearly hurting inside.;;Hurt;Hurt, Reflection;Reflecting quietly on pain.; ;; 
;;;;;;;
she gazes off into the distance with a soft, wistful smile.;;Nostalgic;Nostalgia, Sadness;Wistful distant nostalgic gaze.; ;; 
she lightly hugs herself, eyes soft as if remembering something precious.;;Nostalgic;Nostalgia, Love;Self-hug remembering warm past.; ;; 
she looks down at her open palm as if holding an old memory, then smiles sadly.;;Nostalgic;Nostalgia, Bittersweet;Bittersweet memory-in-hand gesture.; ;; 
she tilts her head and exhales softly, half smiling, half sad.;;Nostalgic;Nostalgia, MixedEmotions;Soft nostalgic half-smile.; ;; 
she closes her eyes briefly, as if hearing an old familiar song.;;Nostalgic;Nostalgia, Calm;Eyes-closed remembering old times.; ;; 
she glances up and to the side with a gentle, faraway expression.;;Nostalgic;Nostalgia;Looking away into the past.; ;; 
she traces a small circle with her finger on the table absentmindedly.;;Nostalgic;Nostalgia, Reflection;Absentminded nostalgic tracing.; ;; 
