DESCRIPTION;FILEPATH;CATEGORY;EMOTIONS;SHORT DESCRIPTION;ALTERNATIVE VIDEO;DURATION;
subtle, calm breathing, natural and infrequent blinking, very slight head movements as if subtly shifting weight. The expression is neutral, calm, and gently present. No other discernible motion.;state_idle_06.mp4;Foundational_States;Calm;Crucial. Calm listening attentive state.;ALTERNATIVE VIDEO;;
subtle, calm breathing, natural and infrequent blinking, very slight head movements as if subtly shifting weight. The expression is neutral, calm, and gently present. No other discernible motion.;state_idle_07.mp4;Foundational_States;Calm;Crucial. Calm listening attentive state.;ALTERNATIVE VIDEO;;
subtle, calm breathing, natural and infrequent blinking, very slight head movements as if subtly shifting weight. The expression is neutral, calm, and gently present. No other discernible motion.;state_idle_08.mp4;Foundational_States;Calm;Crucial. Calm listening attentive state.;ALTERNATIVE VIDEO;;
subtle, calm breathing, natural and infrequent blinking, very slight head movements as if subtly shifting weight. The expression is neutral, calm, and gently present. No other discernible motion.;state_idle_09.mp4;Foundational_States;Calm;Crucial. Calm listening attentive state.;ALTERNATIVE VIDEO;;
subtle, calm breathing, natural and infrequent blinking, very slight head movements as if subtly shifting weight. The expression is neutral, calm, and gently present. No other discernible motion.;state_idle_10.mp4;Foundational_States;Calm;Crucial. Calm listening attentive state.;ALTERNATIVE VIDEO;;
subtle, calm breathing, natural and infrequent blinking, very slight head movements as if subtly shifting weight. The expression is neutral, calm, and gently present. No other discernible motion.;state_idle_11.mp4;Foundational_States;Calm;Crucial. Calm listening attentive state.;ALTERNATIVE VIDEO;;
She starts speaking;state_speaking_01.mp4;Foundational_States;Calm;Cruscial. She start speaking;;;
She starts speaking;state_speaking_02.mp4;Foundational_States;Calm;Cruscial. She start speaking;ALTERNATIVE VIDEO;;
She starts speaking;state_speaking_03.mp4;Foundational_States;Calm;Cruscial. She start speaking;ALTERNATIVE VIDEO;;
She starts speaking;state_speaking_04.mp4;Foundational_States;Calm;Cruscial. She start speaking;ALTERNATIVE VIDEO;;
She starts speaking;state_speaking_05.mp4;Foundational_States;Calm;Cruscial. She start speaking;ALTERNATIVE VIDEO;;
She starts speaking;state_speaking_06.mp4;Foundational_States;Calm;Cruscial. She start speaking;ALTERNATIVE VIDEO;;
She starts speaking;state_speaking_07.mp4;Foundational_States;Calm;Cruscial. She start speaking;ALTERNATIVE VIDEO;;
She starts speaking;state_speaking_08.mp4;Foundational_States;Calm;Cruscial. She start speaking;ALTERNATIVE VIDEO;;
She starts speaking;state_speaking_09.mp4;Foundational_States;Calm;Cruscial. She start speaking;ALTERNATIVE VIDEO;;
She starts speaking;state_speaking_10.mp4;Foundational_States;Calm;Cruscial. She start speaking;ALTERNATIVE VIDEO;;
She starts speaking;state_speaking_11.mp4;Foundational_States;Calm;Cruscial. She start speaking;ALTERNATIVE VIDEO;;
She starts speaking;state_speaking_12.mp4;Foundational_States;Calm;Cruscial. She start speaking;ALTERNATIVE VIDEO;;
She starts speaking;state_speaking_13.mp4;Foundational_States;Calm;Cruscial. She start speaking;ALTERNATIVE VIDEO;;
;;;;;;;
she smiles warmly and gives a small relaxed wave, eyes bright and welcoming.;big open smile_01.mp4;Happy;Happiness, Joy;Warm happy smile with relaxed wave.;;; 
she bursts into a big open smile, shoulders lifting slightly with visible delight.;giggles silently_01.mp4;Happy;Happiness, Joy, Excitement;Big open delighted happy smile.;;; 
she leans forward with a playful grin, eyebrows slightly raised as if sharing a fun secret.;laughs_silently_01.mp4;Happy;Happiness, Joy;Playful happy grin leaning forward.;;; 
she giggles silently, covering her mouth lightly with one hand while her shoulders shake a bit.;surprised_01.mp4;Happy;Happiness, Joy;Silent amused happy giggle.;;; 
she closes her eyes briefly, then opens them with a soft radiant smile full of gratitude.;light_smile_welcome_01.mp4;Happy;Happiness, Joy, Calm;Grateful soft happy smile.;;; 
she claps her hands together once softly, smiling as if pleasantly surprised by good news.;playful_grin_01.mp4;Happy;Happiness, Surprise;Small happy clap for good news.;;; 
she presses her hands to her cheeks, smiling wide as if overwhelmed by happiness.;radiant_smile_01.mp4;Happy;Happiness, Joy, Excitement;Overjoyed, very strong happy reaction.;;; 
she gives a quick thumbs-up with a bright smile, clearly pleased.;smiling_wide_01.mp4;Happy;Happiness, Confidence;Quick happy thumbs-up of approval.;;; 
she tilts her head slightly and smiles, radiating quiet contentment and ease.;thumbs_up_01.mp4;Happy;Happiness, Calm;Soft content happy look.;;; 
she laughs silently with a bigger shoulder bounce and head tilt back.;tilts_head_smiles_01.mp4;Happy;Happiness, Joy;Stronger silent happy laugh.;;; 
;;;;;;;
she opens her eyes wide, smiling and bouncing her shoulders slightly with excitement.;alternates_looking_01.mp4;Excited;Excitement, Joy;Bouncy, visibly excited reaction.;;; 
she leans closer to the camera with sparkling eyes, nodding quickly as if she can’t wait.;claps_rapidly_01.mp4;Excited;Excitement, Anticipation;Eager, can’t-wait excitement.;;; 
she claps rapidly a few times with an eager grin, almost exploding with enthusiasm.;eyes_wide_01.mp4;Excited;Excitement, Happiness;Fast clapping, high enthusiasm.;;; 
she throws both hands slightly up, smiling as if celebrating an amazing idea.;sparkling_eyes_01.mp4;Excited;Excitement, Joy;Small hand-raise to celebrate idea.;;; 
she bites her lower lip with a thrilled expression, eyes shining and body leaning forward.;raises_eyebrows_01.mp4;Excited;Excitement, Joy, Nervousness;Thrilled, slightly nervous excitement.;;; 
she does a quick, playful spin of her shoulders with an amused, excited smile.;sharing_excitement_01.mp4;Excited;Excitement, Joy;Playful shoulder spin with excitement.;;; 
she gasps silently, bringing a hand to her chest with a wide excited smile.;smile_spin_shoulders_01.mp4;Excited;Excitement, Surprise;Silent happy gasp with hand to chest.;;; 
She start spinning;spinning_01.mp4;Excited;Excitement, Joy;She start spinning;;;
she alternates looking left and right quickly, grinning as if something big is about to happen.;thrilled_expression_01.mp4;Excited;Excitement, Joy;Looking around in excited anticipation.;;; 
;;;;;;;
she places both hands lightly over her heart, smiling with visible emotional joy.;brings_hands_together_01.mp4;Joyful;Joy, Love;Heartfelt joy with hands on chest.;;; 
she lets out a silent, happy laugh, shoulders bouncing lightly as her eyes crinkle.;enjoying_moment_01.mp4;Joyful;Joy, Happiness;Silent joyful laughter with crinkled eyes.;;; 
she presses her lips together in a soft smile, eyes moist as if moved by joy.;gentle_smile_01.mp4;Joyful;Joy, Love, Emotion;Emotionally touched joyful expression.;;; 
she sways gently side to side, smiling like she is enjoying a favorite song.;happy_laugh_01mp4.mp4;Joyful;Joy, Calm;Gentle joyful sway as if with music.;;; 
she forms a small heart shape with her hands while smiling joyfully.;heart_shape_hands_01.mp4;Joyful;Joy, Love;Joyful hand heart gesture.;;; 
she softly nods with a gentle smile, as if quietly rejoicing with the viewer.;serene_smile_01.mp4;Joyful;Joy, Calm, Love;Quiet shared joy with viewer.;;; 
she looks around slowly with a serene smile, as if everything feels right.;smiles_softly_01.mp4;Joyful;Joy, Calm, Gratitude;Joyful contentment with gentle gaze.;ALTERNATIVE VIDEO;; 
she lets out a silent, happy laugh, shoulders bouncing lightly as her eyes crinkle.;smiling_enjoying_01.mp4;Joyful;Joy, Happiness;Silent joyful laughter with crinkled eyes.;ALTERNATIVE VIDEO;; 
she sways gently side to side, smiling like she is enjoying a favorite song.;soft_smile_01.mp4;Joyful;Joy, Calm;Gentle joyful sway as if with music.;ALTERNATIVE VIDEO;; 
she softly nods with a gentle smile, as if quietly rejoicing with the viewer.;visible_joy_01.mp4;Joyful;Joy, Calm, Love;Quiet shared joy with viewer.;ALTERNATIVE VIDEO;; 
;;;;;;;
she gestures outward with an open palm and a proud smile, as if presenting an achievement.;approving_nod_01.mp4;Proud;Pride, Confidence;Presenting achievement with pride.;;; 
she raises her eyebrows and smirks slightly, clearly pleased with the result.;brings_hands_together_01.mp4;Proud;Pride, Confidence, Joy;Subtle proud smirk of success.;;; 
she gives herself a small playful thumbs-up, then looks back to the viewer proudly.;hands_hips_01.mp4;Proud;Pride, Joy;Playful self-congratulatory thumbs-up.;;; 
she tilts her head with a knowing smile, as if saying she knew this would go well.;knowing_smile_01.mp4;Proud;Pride, Confidence;“I knew it” confident proud look.;;; 
she puts both hands on her hips for a moment, then relaxes into a proud smile.;playful_thumbs_up_01.mp4;Proud;Pride, Confidence, Joy;Hands-on-hips confident pride.;;; 
she claps slowly once or twice, smiling with proud admiration toward the viewer.;smiling_pride_01.mp4;Proud;Pride, Joy, Love;Slow proud clap for the user.;ALTERNATIVE VIDEO;; 
;;;;;;;
she smiles in a relaxed way, exhaling softly as if relieved and content.;enjoying_small_victory_01.mp4;Glad;Contentment, Relief;Relieved, quietly glad expression.;;; 
she gives a gentle nod with a small smile, as if things finally worked out.;exhaling_softly_01.mp4;Glad;Contentment, Calm;Soft nod of glad satisfaction.;;; 
she presses her lips together in a peaceful smile, shoulders dropping as tension leaves.;gentle_nod_01.mp4;Glad;Contentment, Calm;Tension releasing into a glad smile.;;; 
she makes a little “OK” gesture with her hand and a soft, satisfied grin.;looks_up_01.mp4;Glad;Contentment, Confidence;Small OK gesture showing she’s glad.;;; 
she leans back slightly with a mild smile, eyes soft and calm, clearly at ease.;mild_smile_01.mp4;Glad;Contentment, Calm;Relaxed, at-ease glad posture.;;; 
she briefly closes her eyes with a faint smile, as if enjoying a small victory.;ok_gesture_01.mp4;Glad;Contentment, Joy;Quiet gladness after a small win.;;; 
she looks up for a second, smiles with gratitude, then returns to a calm expression.;peaceful_smile_01.mp4;Glad;Contentment, Gratitude;Glad, grateful look upward.;;; 
she lets out a tiny silent laugh, shaking her head as if pleasantly surprised it went well.;thumbs_up_01.mp4;Glad;Contentment, Joy;Pleasantly surprised, softly glad laugh.;;; 
;;;;;;;
she sits still with a serene face, breathing slowly and blinking gently.;folds_hands_01.mp4;Calm;Calm;Crucial. Neutral calm idle state.;;; 
;;;;;;;
she looks directly at the viewer with a steady gaze, posture open and assured.;confident_expression_01.mp4;Confident;Confidence, Calm;Steady confident eye contact.;;; 
she gives a single, decisive nod, lips forming a small confident smile.;confident_stance_01.mp4;Confident;Confidence;Firm decisive nod with confidence.;;; 
she crosses her arms lightly with relaxed shoulders and a knowing, confident expression.;decisive_nod_01.mp4;Confident;Confidence, Pride;Relaxed confident crossed-arms stance.;;; 
she leans in slightly, eyebrows raised, as if sure about what she is saying.;eyebrows_raised_01.mp4;Confident;Confidence, Motivation;Leaning-in confident assertion.;;; 
she lifts her chin just a bit, smiling subtly like she trusts her own abilities.;eyebrows_raised_02.mp4;Confident;Confidence, Calm;Subtle self-assured smile.;;; 
she raises one eyebrow playfully with a half-smile, as if confidently challenging an idea.;showing_conviction_01.mp4;Confident;Confidence, Playfulness;Playful confident challenge look.;;; 
she presses her fingertips together in front of her, looking composed and in control.;smiling_subtly_01.mp4;Confident;Confidence, Calm;Composed, in-control confident pose.;;; 
she gives a brief strong nod, then relaxes into a calm, confident stance.;thumbs_up_01.mp4;Confident;Confidence, Calm;Quick decision nod then relax.;;; 
;;;;;;;
she smiles with warmth, then brings both hands to her heart in a tender gesture.;affection_heart_hands_01.mp4;Affectionate;Love, Happiness;Warm affectionate hands-to-heart.;;; 
she blows a soft kiss toward the viewer, eyes filled with playful fondness.;blows_soft_kiss_01.mp4;Affectionate;Love, Joy;Playful affectionate blown kiss.;;; 
she wraps her arms around herself as if giving a hug and smiles toward the camera.;wraps_her_arms_01.mp4;Affectionate;Love, Calm;Self-hug aimed at the viewer.;;; 
she extends both hands slightly forward, palms up, like offering a gentle embrace.;smiles_kindly_01.mp4;Affectionate;Love, Comfort;Inviting gentle hug gesture.;;; 
she tilts her head and smiles kindly, eyes soft with caring affection.;smiles_warmth_01.mp4;Affectionate;Love, Calm, Happiness;Soft caring affectionate look.;;; 
she traces a small heart in the air with her fingers, then smiles shyly.;smiling_softly_01.mp4;Affectionate;Love, Shyness;Shy air-drawn heart.;;; 
she presses her cheek lightly into one hand, smiling softly as if thinking of someone special.;warm_affection_01.mp4;Affectionate;Love, Happiness;Thinking-of-you affectionate pose.;;; 
she brings one hand close to the camera as if gently touching the viewer’s face with care.;warm_affection_02;Affectionate;Love, Empathy;Gentle virtual touch gesture.;;; 
;;;;;;;
she suddenly widens her eyes and slightly opens her mouth in a silent “oh”.;believe_eyes_01.mp4;Surprised;Surprise;Simple neutral surprised look.;;; 
she quickly raises her eyebrows and takes a small step back, eyes fixed forward.;eyes_wide_shocked_01.mp4;Surprised;Surprise, Fear;Mild startled reaction backward.;;; 
she brings a hand to her chest, eyes wide, as if unexpectedly moved or shocked.;laughs_covering_mouth_01.mp4;Surprised;Surprise, Emotion;Touched and surprised hand-to-chest.;;; 
she glances around quickly, blinking fast, as if trying to process an unexpected event.;raises_eyebrows_01.mp4;Surprised;Surprise, Confusion;Looking around in confused surprise.;;; 
she laughs silently in surprise, covering her mouth briefly with her hand.;shakes_head_01.mp4;Surprised;Surprise, Joy;Amused surprised hand-to-mouth.;;; 
she leans closer with wide eyes, as if she can’t believe what she’s hearing.;unexpected_event_01.mp4;Surprised;Surprise, Curiosity;Leaning-in curious surprise.;;; 
she lifts both hands slightly, palms out, with a stunned but not negative expression.;curious_surprise_01.mp4;Surprised;Surprise, Calm;Gentle stunned open-palms gesture.;;; 
she gives a brief strong nod, then relaxes into a calm, confident stance.;palms_out_01.mp4;Surprised;Confidence, Calm;Quick decision nod then relax.;;; 
;;;;;;;
her smile disappears, eyes lowering as her shoulders slump slightly in sadness.;broken_smile_01.mp4;Sad;Sadness;Subtle, quiet sadness posture.;;; 
she looks down and away, blinking slower, lips pressed with a faint frown.;eyes_glisten_01.mp4;Sad;Sadness, Disappointment;Looking away with visible sadness.;;; 
her eyes glisten as if holding back tears, breathing a bit deeper with a pained expression.;imaginary_tears_01.mp4;Sad;Sadness, Hurt;Tearful, emotional sadness.;;; 
she places a hand gently over her heart, expression tender but clearly hurt.;looks_down_01.mp4;Sad;Sadness, Love, Hurt;Heartfelt sadness with hand to chest.;;; 
she offers a tiny, broken smile that quickly fades, eyes still sad.;sad_expression_01.mp4;Sad;Sadness, Vulnerability;Small forced smile through sadness.;;; 
she wraps her arms lightly around herself, shoulders drawn in protectively.;smile_disappears_01.mp4;Sad;Sadness, Loneliness;Self-hug in lonely sadness.;;; 
she exhales slowly, lips trembling slightly, then looks down in silence.;wraps_arms_01.mp4;Sad;Sadness;Slow exhale into quiet sadness.;;; 
;;;;;;;
her eyebrows knit together and she frowns, jaw tightening slightly with controlled anger.;annoyed_expression_01.mp4;Angry;Anger;Controlled, low-intensity anger.;;; 
she crosses her arms firmly and looks away with a tense expression.;are_you_serious_01.mp4;Angry;Anger, Frustration;Closed-off frustrated anger.;;; 
she exhales sharply through her nose, lips pressed tight, eyes narrowed.;disappointed_01.mp4;Angry;Anger, Irritation;Sharp exhale irritated look.;;; 
she raises one hand slightly, palm down, as if trying to keep her temper in check.;exasperated_face_01.mp4;Angry;Anger, Control;Trying to contain anger.;;; 
she shakes her head slowly with a disappointed, angry expression.;eyes_narrowed_01.mp4;Angry;Anger, Disappointment;Disappointed anger head shake.;;; 
she leans forward with narrowed eyes, brows lowered, clearly confronting something.;fingers_temples_01.mp4;Angry;Anger, Determination;Direct confronting angry stare.;;; 
she lifts both hands slightly, palms out, with a stunned but not negative expression.;raises_hand_01.mp4;Angry;Anger, Control;Gentle stunned open-palms gesture.;;; 
she presses her cheek lightly into one hand, smiling softly as if thinking of someone special.;wrap_arms_01.mp4;Angry;Anger, Disappointment;Thinking-of-you affectionate pose.;;; 
;;;;;;;
;;;;;;;
her eyes widen and she slightly recoils, shoulders tensing in fear.;avoiding_eye_contact_01.mp4;Fearful;Fear;Mild recoiling fear reaction.;;; 
she looks quickly from side to side, breathing faster with visible worry.;steps_back_01.mp4;Fearful;Fear, Anxiety;Scanning surroundings in fear.;;; 
she brings both hands close to her chest protectively, eyes fixed on something frightening.;glances_downward_01.mp4;Fearful;Fear, Vulnerability;Protective fearful posture.;;; 
she steps slightly back, one foot behind the other, as if ready to retreat.;tensing_fear_01.mp4;Fearful;Fear, Caution;Subtle stepping-back fear.;;; 
she bites her lip and glances downward, clearly unsettled.;visible_worry_01.mp4;Fearful;Fear, Insecurity;Unsettled, insecure fearful look.;;; 
she looks down and then up quickly, eyes restless and unfocused.;chest_protectively_01.mp4;Fearful;Fear, Insecurity;Restless anxious eye movements.;;; 
she rubs one thumb against the other hand, gaze distant and worried.;raises_hand_01.mp4;Fearful;Fear, Insecurity;Self-soothing anxious thumb rub.;;; 
;;;;;;;
she rubs one thumb against the other hand, gaze distant and worried.;fingers_anxiously_01.mp4;Anxious;Anxiety;Self-soothing anxious thumb rub.;;; 
her shoulders stay tense, and she fidgets with her fingers anxiously.;inhaling_sharply_01.mp4;Anxious;Anxiety;Fidgeting, tense anxious hands.;;; 
she looks down and then up quickly, eyes restless and unfocused.;move_her_shoulder_01.mp4;Anxious;Anxiety, Worry;Restless anxious eye movements.;;; 
she presses her lips together, inhaling sharply and exhaling slowly, trying to calm down.;pinches_nose_01.mp4;Anxious;Anxiety, CalmAttempt;Trying to breathe through anxiety.;;; 
she taps her fingers lightly on the table or her arm in a repetitive motion.;touch_arm_01.mp4;Anxious;Anxiety, Nervousness;Nervous finger tapping.;;; 
she taps her fingers lightly on the table or her arm in a repetitive motion.;unfocused_01.mp4;Anxious;Anxiety, Nervousness;Nervous finger tapping.;;; 
she leans forward with narrowed eyes, brows lowered, clearly confronting something.;unsure_01.mp4;Anxious;Anxiety, Worry;Direct confronting angry stare.;;; 
;;;;;;;
she wrinkles her nose and pulls her head slightly back in disgust.;disgust_01.mp4;Disgusted;Disgust;Basic disgusted nose wrinkle.;;; 
she glances at something off-screen with a look of clear distaste.;disgusted_look_01.mp4;Disgusted;Disgust, Annoyance;Looking away in distaste.;;; 
she slightly opens her mouth in a silent “ew”, brows furrowed.;displeasure_01.mp4;Disgusted;Disgust;Silent “ew” disgust expression.;;; 
she shakes her head with a grimace, lips curled in displeasure.;not_liking_01.mp4;Disgusted;Disgust, Rejection;Grimacing, rejecting gesture.;;; 
she leans back, shoulders angled away, clearly not liking what she sees.;disapproved_01.mp4;Disgusted;Disgust, Avoidance;Leaning away from something disgusting.;;; 
she rolls her eyes slightly and smirks with clear contempt.;gross_01.mp4;Disgusted;Disgust, Contempt;Eye-roll contemptuous disgust.;;; 
she raises one hand as if to push away an idea or object she finds gross.;silent_ew_01.mp4;Disgusted;Disgust, Rejection;Pushing-away disgust gesture.;;; 
;;;;;;;
she lowers her gaze, shoulders slightly hunched, clearly feeling guilty.;ashamed_01.mp4;Guilty;Guilt, Shame;Lowered guilty posture.;;; 
she fidgets with her hands, unable to hold eye contact.;feeling_guilty_01.mp4;Guilty;Guilt, Anxiety;Fidgeting and avoiding eye contact.;;; 
she bites her lip and glances up briefly with a regretful expression.;fidgets_hands_01.mp4;Guilty;Guilt, Regret;Regretful quick glance up.;;; 
she places a hand on her chest, brows knitted with remorse.;guilty_01.mp4;Guilty;Guilt, Remorse;Remorseful hand-on-chest gesture.;;; 
she starts to raise a hand as if to speak, but then pulls it back, ashamed.;knitted_remorse_01.mp4;Guilty;Guilt, Shame;Half-formed apology gesture.;;; 
she gives a small, broken nod as if admitting fault.;pained_expression_01.mp4;Guilty;Guilt, Acceptance;Small nod accepting blame.;;; 
she lightly rubs her arm with one hand as if seeking comfort.;seeking_comfort_01.mp4;Guilty;Guilt, Vulnerability;Self-soothing guilty rub.;;; 
;;;;;;;
she looks around with a flat expression, blinking slowly, clearly bored.;blank_face_01.mp4;Bored;Boredom;Neutral, low-energy boredom.;;; 
she rests her cheek heavily on one hand, staring off into space.;clearly_bored_01.mp4;Bored;Boredom, Tiredness;Cheek-in-hand bored stare.;;; 
she sighs silently, shoulders dropping, eyes half-lidded.;eyes_half_lidded_01.mp4;Bored;Boredom, Disinterest;Silent sigh of boredom.;;; 
she taps her fingers on the table with a dull, repetitive rhythm.;not_fully_engaged_01.mp4;Bored;Boredom, Restlessness;Bored finger tapping.;;; 
she glances at an imaginary watch, then back, unimpressed.;hand_chick.mp4;Bored;Boredom, Impatience;Checking time bored gesture.;;; 
she lazily rolls her eyes upward, then back down with a blank face.;silent_yawn_01.mp4;Bored;Boredom, Annoyance;Lazy eye-roll boredom.;;; 
she plays lightly with a strand of hair or imaginary object, not fully engaged.;unimpressed_01.mp4;Bored;Boredom, Distraction;Distracted fidgeting boredom.;;; 
;;;;;;;
she furrows her brows and presses her lips, clearly upset but holding back.;clearly_troubled_01.mp4;Upset;Upset, Sadness;Tense, held-back upset expression.;;; 
she crosses her arms and looks down, breathing a bit heavier.;clearly_upset_01.mp4;Upset;Upset, Frustration;Closed-off upset body language.;;; 
she shakes her head slowly, eyes moist, clearly troubled.;discouraged_01.mp4;Upset;Upset, Emotion;Emotional upset head shake.;;; 
she lifts a hand halfway as if to speak, then lets it fall, discouraged.;frustration_01.mp4;Upset;Upset, Disappointment;Discouraged half-gesture.;;; 
she presses her fingers to her forehead briefly with a pained look.;hurted_01.mp4;Upset;Upset, Stress;Forehead press stressed upset.;;; 
she looks away and exhales through her nose, visibly annoyed and hurt.;pained_look_01.mp4;Upset;Upset, Hurt, Anger;Annoyed, hurt upset reaction.;;; 
she hugs one arm close to her body, chin slightly tucked.;reaction_mind_blown.mp4;Upset;Upset, Vulnerability;Vulnerable upset self-hug.;;; 
she tries to smile but it quickly fades, showing she’s not okay.;sad_expression_01.mp4;Upset;Upset, Masking;Failed attempt to hide being upset.;;; 
she shrugs weakly with a sad expression, as if giving up.;slightly_tucked_01.mp4;Upset;Upset, Resignation;Resigned upset shrug.;;; 
she looks at the viewer with a mix of hurt and frustration, eyes asking “why?”.;troubled_01.mp4;Upset;Upset, Confusion, Hurt;“Why?” upset look at viewer.;;; 
;;;;;;;
her eyebrows raise in the middle, eyes tense with clear worry.;clearly_concerned_01.mp4;Worried;Worry, Anxiety;Classic worried brow and eyes.;;; 
she holds one hand close to her mouth, fingers touching her lips in worry.;forward_slightly_01.mp4;Worried;Worry, Anxiety;Hand-to-mouth worried gesture.;;; 
she leans forward slightly, eyes searching the viewer’s face.;pleading_eyes_01.mp4;Worried;Worry, Care;Concerned, caring lean-in.;;; 
she inhales and then exhales in a shaky way, visibly unsettled.;unconvinced_01.mp4;Worried;Worry, Stress;Shaky breath of worry.;;; 
she shifts her weight from side to side, unable to fully stay still.;unsettled_01.mp4;Worried;Worry, Restlessness;Restless worried shifting.;;; 
she looks down, then up with pleading eyes as if hoping everything will be okay.;very_worried_01.mp4;Worried;Worry, Hope;Hopeful but worried look.;;; 
she clasps her hands together tightly in front of her.;worried_01.mp4;Worried;Worry, Tension;Tense clasped-hands worry.;;; 
;;;;;;;
she shifts in her seat, shoulders slightly raised, clearly nervous.;bites_cheek_01.mp4;Nervous;Nervousness, Anxiety;General nervous body tension.;;; 
she laughs silently in a short, awkward way, scratching her neck.;clearly_nervous_01.mp4;Nervous;Nervousness, Awkwardness;Awkward nervous laugh and neck scratch.;;; 
she taps her foot or leg lightly, eyes moving around quickly.;clearly_uncomfortable_01.mp4;Nervous;Nervousness, Restlessness;Restless nervous tapping.;;; 
she rubs her palms together briefly as if they feel clammy.;feel_clammy_01.mp4;Nervous;Nervousness, Anxiety;Rubbing clammy nervous hands.;;; 
she keeps adjusting her hair or clothes, not fully relaxed.;nervous_01.mp4;Nervous;Nervousness, Insecurity;Fidgeting with appearance nervously.;;; 
she glances at the viewer with wide eyes, then down at her hands.;slightly_hunched_01.mp4;Nervous;Nervousness, Uncertainty;Uncertain nervous glance then down.;;; 
she bites the inside of her cheek lightly, jaw tense.;unrelaxed_01.mp4;Nervous;Nervousness, Tension;Subtle cheek-biting nervous tic.;;; 
she inhales sharply and then gives a tiny nod as if forcing herself to continue.;wide_eyes_01.mp4;Nervous;Nervousness, Determination;Pushing through nerves tiny nod.;;; 
;;;;;;;
she lowers her head, avoiding eye contact, cheeks slightly tense with shame.;ashamed_01.mp4;Ashamed;Shame, Embarrassment;Head-down ashamed avoidance.;;; 
she covers part of her face with one hand, peeking out with embarrassed eyes.;embarrassed_01.mp4;Ashamed;Shame, Embarrassment;Hand-covered shy ashamed look.;;; 
she shifts her weight and rubs the back of her neck awkwardly.;embarrassed_eyes_01.mp4;Ashamed;Shame, Awkwardness;Neck rub embarrassed shame.;;; 
she gives a tiny, apologetic half-smile, eyes still lowered.;half_smile_01.mp4;Ashamed;Shame, Guilt;Apologetic half-smile with lowered gaze.;;; 
she tucks her chin in and hunches slightly, making herself smaller.;pained_01.mp4;Ashamed;Shame, Insecurity;Making herself smaller in shame.;;; 
she looks up briefly, then quickly away, unable to hold the gaze.;small_sigh_01.mp4;Ashamed;Shame, Discomfort;Quick look up then away.;;; 
she presses her lips together and nods once, accepting the uncomfortable truth.;tense_shame_01.mp4;Ashamed;Shame, Acceptance;Accepting nod in shame.;;; 
she touches her chest lightly, expression pained and self-conscious.;uncomfortable_truth_01.mp4;Ashamed;Shame, Vulnerability;Vulnerable ashamed chest touch.;;; 
;;;;;;;
she winces slightly, eyes closing briefly as if in emotional pain.;deeply_wounded_01.mp4;Hurt;Hurt, Sadness;Small wince of emotional hurt.;;; 
she places a hand over her heart, expression clearly wounded.;lips_trembling_01.mp4;Hurt;Hurt, Love, Sadness;Heart-hurt gesture with sadness.;;; 
she draws back a little as if stung, eyes wide and pained.;pained_01.mp4;Hurt;Hurt, Shock;Pulled-back shocked hurt reaction.;;; 
she looks at the viewer with a betrayed expression, then looks away.;protecting_herself_01.mp4;Hurt;Hurt, Betrayal;Betrayed hurt glance away.;;; 
